sep=,
DeviceTag:,Right Foot
FirmwareVersion:,2.4.0
AppVersion:,2022.0.0
StartTime: ,2023-06-27_13:36:40_000 CEST
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
584,1931688778,-0.10267876088619,-0.33343154191971,-116.59798431396484,0.03242487087846,-0.03470158204436,9.51241493225098,-0.52040451765060,3.51879429817200,0.37935966253281
585,1931697111,-0.10284962505102,-0.33300727605820,-116.59829711914062,0.01773702539504,-0.03344451636076,9.50844192504883,-0.64313501119614,3.58120274543762,0.26357045769691
586,1931705444,-0.10237737745047,-0.33304375410080,-116.59835052490234,0.03995023295283,-0.02266139164567,9.48499107360840,-0.57081329822540,3.53490543365479,0.28960737586021
587,1931713777,-0.10239159315825,-0.33274191617966,-116.59779357910156,0.04573016241193,-0.04078837484121,9.48015785217285,-0.62478244304657,3.56643676757812,0.36329951882362
588,1931722110,-0.10175278782845,-0.33260565996170,-116.59746551513672,0.00629523303360,-0.02876814082265,9.51305294036865,-0.54975831508636,3.55619049072266,0.33484211564064
589,1931730443,-0.10213161259890,-0.33182528614998,-116.59783172607422,0.03619242459536,-0.03686245158315,9.49830150604248,-0.67040127515793,3.62399125099182,0.25157019495964
590,1931738776,-0.10202956199646,-0.33217379450798,-116.59741973876953,0.03441341966391,-0.03505444154143,9.52002525329590,-0.61451113224030,3.49750876426697,0.34524148702621
591,1931747109,-0.10230654478073,-0.33174699544907,-116.59680938720703,0.03059466555715,-0.01564657129347,9.51548385620117,-0.65521216392517,3.58111310005188,0.36578404903412
592,1931755442,-0.10284078866243,-0.33116981387138,-116.59593200683594,0.02486501820385,-0.01355779729784,9.53903007507324,-0.69196861982346,3.60885334014893,0.40105485916138
593,1931763775,-0.10359100997448,-0.33122897148132,-116.59575653076172,0.01053113397211,-0.02521838061512,9.50130844116211,-0.71271616220474,3.52238035202026,0.31852582097054
594,1931772108,-0.10494398325682,-0.33097565174103,-116.59639739990234,0.02883643284440,-0.02266146056354,9.49568462371826,-0.79063445329666,3.57007312774658,0.21973168849945
595,1931780441,-0.10497566312551,-0.33170667290688,-116.59641265869141,0.02811687625945,-0.01034601684660,9.50526237487793,-0.62634497880936,3.44243812561035,0.29519125819206
596,1931788774,-0.10497003793716,-0.33226183056831,-116.59668731689453,0.02847378142178,-0.01910931617022,9.50874519348145,-0.62624239921570,3.47297000885010,0.26245623826981
597,1931797107,-0.10451410710812,-0.33304572105408,-116.59690093994141,0.00970073044300,-0.01761692948639,9.50652313232422,-0.56989109516144,3.43506097793579,0.27306053042412
598,1931805440,-0.10484708845615,-0.33312231302261,-116.59650421142578,-0.00072414777242,-0.01874564029276,9.50463962554932,-0.66655921936035,3.53065299987793,0.34268003702164
599,1931813773,-0.10496196895838,-0.33323076367378,-116.59587860107422,0.02495590038598,-0.03318798914552,9.51294231414795,-0.63656502962112,3.51669383049011,0.37116310000420
600,1931822106,-0.10472566634417,-0.33274412155151,-116.59555053710938,0.03520161285996,-0.00565561000258,9.49080753326416,-0.59934741258621,3.59809494018555,0.33520063757896
601,1931830439,-0.10536503791809,-0.33116680383682,-116.59545898437500,0.02729770727456,-0.04725443944335,9.49990463256836,-0.69970393180847,3.71948075294495,0.29262980818748
602,1931838772,-0.10583032667637,-0.33076852560043,-116.59575653076172,0.02432099357247,-0.04390081390738,9.51140403747559,-0.68236315250397,3.58790087699890,0.25805062055588
603,1931847105,-0.10466387867928,-0.32996696233749,-116.59454345703125,0.01955519244075,-0.02827266976237,9.48880100250244,-0.48239284753799,3.62665510177612,0.46181184053421
604,1931855438,-0.10543821007013,-0.33008465170860,-116.59428405761719,0.01016096863896,-0.02153106592596,9.51133728027344,-0.71986252069473,3.52540254592896,0.32475012540817
605,1931863771,-0.10572271049023,-0.32992792129517,-116.59317779541016,0.01509691309184,-0.04645992442966,9.52247428894043,-0.65667223930359,3.54899334907532,0.42556774616241
606,1931872104,-0.10584633797407,-0.32987952232361,-116.59302520751953,0.02303977683187,-0.04023931547999,9.52467727661133,-0.64227700233459,3.54545855522156,0.31363350152969
607,1931880437,-0.10650786012411,-0.32965084910393,-116.59311676025391,0.03644369170070,-0.05107146874070,9.50446224212646,-0.70341801643372,3.55680537223816,0.28438201546669
608,1931888770,-0.10671760886908,-0.32957673072815,-116.59198760986328,0.01919840462506,-0.03136310726404,9.50676155090332,-0.64985877275467,3.54848122596741,0.43110042810440
609,1931897103,-0.10716371238232,-0.32910585403442,-116.59183502197266,0.01529724057764,-0.03391214832664,9.50929164886475,-0.67765021324158,3.58595442771912,0.31094399094582
610,1931905436,-0.10703802108765,-0.32924753427505,-116.59105682373047,0.02408121898770,-0.01503161806613,9.49285793304443,-0.61115562915802,3.52248215675354,0.38901621103287
611,1931913769,-0.10638897866011,-0.32806375622749,-116.59053802490234,0.03524490445852,-0.03315878659487,9.49661445617676,-0.54455864429474,3.67107057571411,0.34921166300774
