Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
4.27,0.06793252,-0.1659451,0.9837923,-0.006735532,-0.01057515,0.01320538,-0.3653008,-0.5027919,0.7786236,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1291295,-0.3424653,1.98079
4.29,0.06847054,-0.1661198,0.9837255,-0.006815827,-0.01054923,0.01315517,-0.3659072,-0.5107768,0.7736065,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1301253,-0.3427889,1.980606
4.31,0.06902424,-0.1662091,0.9836718,-0.00689571,-0.01053338,0.01310156,-0.3669119,-0.5178588,0.7688432,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1311528,-0.3429515,1.980445
4.32,0.0695639,-0.1662403,0.9836285,-0.00699516,-0.01051633,0.0130533,-0.3682733,-0.52418,0.7642899,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1321326,-0.342997,1.98031
4.34,0.07011176,-0.1663183,0.9835764,-0.007093242,-0.01050361,0.01299903,-0.3700448,-0.5297786,0.759919,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1331303,-0.3431402,1.980152
4.36,0.06740087,-0.1649512,0.983996,-0.007025002,-0.01047482,0.01288552,-0.3721863,-0.5347613,0.7556949,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1277767,-0.3403772,1.980878
4.37,0.06481835,-0.1635687,0.9844003,-0.006956236,-0.01044628,0.0127808,-0.3739958,-0.5394728,0.7517355,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1226805,-0.3375837,1.981581
4.39,0.06242958,-0.1622013,0.9847809,-0.006944258,-0.010429,0.01270169,-0.3754891,-0.5439252,0.7480387,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1179149,-0.3348316,1.982263
4.41,0.0601589,-0.1609482,0.9851276,-0.006927201,-0.01042321,0.01262688,-0.3769138,-0.5480588,0.7445366,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1133906,-0.3323197,1.982882
4.42,0.05803816,-0.1597743,0.985446,-0.006852198,-0.0104254,0.01253976,-0.3782331,-0.5519472,0.7412045,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1092241,-0.3299739,1.983432
